mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21.760117769241333,4.888662555919118,0.010408449172973632,0.00631548473132871,relu,200,0.001,500,adam,"{'activation': 'relu', 'hidden_layer_sizes': 200, 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.5978260869565217,0.6311688311688312,0.6259946949602123,0.6172185430463576,0.6448863636363636,0.6234189039536573,0.015626801679218986,2
27.176810836791994,2.325093642362303,0.009608888626098632,0.00048703314010485474,relu,250,0.001,500,adam,"{'activation': 'relu', 'hidden_layer_sizes': 250, 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.5936675461741426,0.6153846153846153,0.6376440460947503,0.611731843575419,0.638888888888889,0.6194633880235633,0.017027771635092892,4
6.524459314346314,1.1388022226917096,0.002991485595703125,9.536027881501093e-06,relu,"(36, 18)",0.001,500,adam,"{'activation': 'relu', 'hidden_layer_sizes': (36, 18), 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.6029216467463479,0.6076618229854689,0.6028985507246376,0.6185044359949303,0.6639566395663956,0.6191886192035561,0.023097582163054704,6
7.755732250213623,1.4896917269909975,0.003002786636352539,1.5048726881083965e-06,relu,"(36, 18, 3)",0.001,500,adam,"{'activation': 'relu', 'hidden_layer_sizes': (36, 18, 3), 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.6041958041958043,0.5997088791848617,0.6591194968553459,0.6128625472887769,0.6197604790419162,0.6191294413133409,0.021161514418996726,7
14.16709132194519,3.75177345501213,0.010806560516357422,0.0011672427244114375,tanh,200,0.001,500,adam,"{'activation': 'tanh', 'hidden_layer_sizes': 200, 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.5892116182572614,0.5991440798858771,0.6603518267929634,0.6184738955823293,0.6536856745479833,0.6241734190132829,0.02849958004187684,1
17.148816776275634,4.481169773551413,0.016411972045898438,0.007369845328761105,tanh,250,0.001,500,adam,"{'activation': 'tanh', 'hidden_layer_sizes': 250, 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.5781021897810219,0.5958702064896756,0.6536856745479833,0.6120805369127517,0.6566347469220246,0.6192746709306914,0.03122367746466201,5
12.159464645385743,12.204744100878319,0.005203866958618164,0.0009801727180942558,tanh,"(36, 18)",0.001,500,adam,"{'activation': 'tanh', 'hidden_layer_sizes': (36, 18), 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.576271186440678,0.6127320954907163,0.6077844311377246,0.6057298772169167,0.6502890173410405,0.6105613215254152,0.023621470796240343,9
13.34049949645996,5.235712792929552,0.016418933868408203,0.023325399887268745,tanh,"(36, 18, 3)",0.001,500,adam,"{'activation': 'tanh', 'hidden_layer_sizes': (36, 18, 3), 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.601063829787234,0.5880721220527046,0.6198347107438016,0.6062176165803109,0.6411238825031929,0.6112624323334488,0.01806899174929615,8
7.051868867874146,0.9593691619005275,0.00919647216796875,0.0007506825346430664,logistic,200,0.001,500,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 200, 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.569060773480663,0.5845272206303724,0.6277777777777779,0.5706293706293706,0.6193181818181819,0.5942626648672732,0.024655581613779603,14
8.949997901916504,1.420277936135632,0.01260514259338379,0.003205389928404128,logistic,250,0.001,500,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 250, 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.5604551920341394,0.616729088639201,0.6353591160220994,0.6177215189873418,0.5907692307692308,0.6042068292904025,0.02609480255543931,11
13.387143850326538,2.468113491332364,0.003999757766723633,0.0006320053623890956,logistic,"(36, 18)",0.001,500,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (36, 18), 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.5722379603399433,0.5805471124620061,0.6442953020134228,0.6008344923504868,0.6491712707182319,0.6094172275768182,0.03189454130560112,10
15.073933362960815,2.658545672330298,0.003803730010986328,0.0003997094695895056,logistic,"(36, 18, 3)",0.001,500,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (36, 18, 3), 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.6047745358090186,0.5988372093023256,0.6373333333333333,0.6207827260458839,0.6417910447761194,0.6207037698533362,0.017047631781888603,3
2.594467115402222,0.39682319281034323,0.004403066635131836,0.0004904075654863704,identity,200,0.001,500,adam,"{'activation': 'identity', 'hidden_layer_sizes': 200, 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.5694822888283378,0.5117056856187291,0.6273381294964029,0.5911602209944752,0.6089466089466089,0.5817265867769107,0.03990785717619775,16
2.8836488723754883,0.31064072314367913,0.005413055419921875,0.0004887009098754797,identity,250,0.001,500,adam,"{'activation': 'identity', 'hidden_layer_sizes': 250, 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.5496183206106869,0.5847076461769115,0.6246498599439776,0.5451851851851852,0.6140350877192982,0.5836392199272119,0.032382270724320435,15
1.9906206130981445,0.5180823474977516,0.002799367904663086,0.0007441530315652539,identity,"(36, 18)",0.001,500,adam,"{'activation': 'identity', 'hidden_layer_sizes': (36, 18), 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.573049645390071,0.6075949367088608,0.6284916201117318,0.5793871866295264,0.6211901306240929,0.6019427038928564,0.022139631038656706,12
1.8321041584014892,0.5331079422914687,0.003009176254272461,0.000893387236500023,identity,"(36, 18, 3)",0.001,500,adam,"{'activation': 'identity', 'hidden_layer_sizes': (36, 18, 3), 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.5647743813682679,0.5885797950219619,0.6164978292329958,0.6170212765957447,0.5876923076923076,0.5949131179822557,0.01977505986189245,13
0.006004524230957031,0.0006330890002123887,0.0,0.0,softmax,200,0.001,500,adam,"{'activation': 'softmax', 'hidden_layer_sizes': 200, 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",,,,,,,,17
0.006000423431396484,7.282663217112838e-06,0.0,0.0,softmax,250,0.001,500,adam,"{'activation': 'softmax', 'hidden_layer_sizes': 250, 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",,,,,,,,18
0.005004072189331054,1.671557401961327e-05,0.0,0.0,softmax,"(36, 18)",0.001,500,adam,"{'activation': 'softmax', 'hidden_layer_sizes': (36, 18), 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",,,,,,,,19
0.005199813842773437,0.00040232784764211656,0.0,0.0,softmax,"(36, 18, 3)",0.001,500,adam,"{'activation': 'softmax', 'hidden_layer_sizes': (36, 18, 3), 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",,,,,,,,20
